CMDLINE C:\Users\lenovo\Anaconda3\python.exe revdet_profiling.py
MEM 0.570312 1563633888.4872
MEM 8.847656 1563633888.5873
MEM 11.132812 1563633888.6876
MEM 13.457031 1563633888.7884
MEM 16.988281 1563633888.8889
MEM 19.765625 1563633888.9891
MEM 22.410156 1563633889.0898
MEM 24.804688 1563633889.1901
MEM 27.691406 1563633889.2909
MEM 31.257812 1563633889.3916
MEM 35.894531 1563633889.4923
MEM 39.656250 1563633889.5930
MEM 40.667969 1563633889.6938
MEM 33.742188 1563633889.7943
MEM 36.710938 1563633889.8947
MEM 39.476562 1563633889.9954
MEM 39.945312 1563633890.0961
MEM 42.972656 1563633890.1969
MEM 47.398438 1563633890.2974
MEM 48.546875 1563633890.3981
MEM 48.562500 1563633890.4989
MEM 48.656250 1563633890.5996
MEM 49.273438 1563633890.7004
MEM 49.273438 1563633890.8011
MEM 50.921875 1563633890.9016
MEM 51.164062 1563633891.0023
MEM 52.101562 1563633891.1024
MEM 56.339844 1563633891.2034
MEM 61.511719 1563633891.3041
MEM 65.375000 1563633891.4046
MEM 68.406250 1563633891.5050
MEM 72.539062 1563633891.6058
MEM 73.566406 1563633891.7065
MEM 76.406250 1563633891.8074
MEM 82.066406 1563633891.9077
MEM 84.804688 1563633892.0085
MEM 88.945312 1563633892.1090
MEM 91.160156 1563633892.2095
MEM 93.679688 1563633892.3102
MEM 96.617188 1563633892.4110
MEM 99.625000 1563633892.5119
MEM 101.898438 1563633892.6123
MEM 107.210938 1563633892.7132
MEM 111.511719 1563633892.8139
MEM 114.441406 1563633892.9139
MEM 117.613281 1563633893.0145
MEM 119.992188 1563633893.1146
MEM 122.214844 1563633893.2148
MEM 122.445312 1563633893.3156
MEM 122.992188 1563633893.4163
MEM 123.746094 1563633893.5170
MEM 124.660156 1563633893.6178
MEM 126.175781 1563633893.7185
MEM 126.269531 1563633893.8192
MEM 126.273438 1563633893.9200
MEM 126.355469 1563633894.0207
MEM 129.058594 1563633894.1214
MEM 129.195312 1563633894.2221
MEM 129.210938 1563633894.3229
MEM 129.210938 1563633894.4236
MEM 129.210938 1563633894.5243
MEM 129.210938 1563633894.6250
MEM 129.210938 1563633894.7257
MEM 129.210938 1563633894.8264
MEM 129.210938 1563633894.9271
MEM 129.214844 1563633895.0279
MEM 129.214844 1563633895.1286
MEM 129.218750 1563633895.2293
MEM 129.218750 1563633895.3301
MEM 129.218750 1563633895.4308
MEM 129.218750 1563633895.5315
MEM 129.222656 1563633895.6323
MEM 129.222656 1563633895.7330
MEM 129.222656 1563633895.8337
MEM 129.222656 1563633895.9344
MEM 129.226562 1563633896.0352
MEM 129.226562 1563633896.1359
MEM 129.226562 1563633896.2366
MEM 129.226562 1563633896.3374
MEM 129.226562 1563633896.4381
MEM 129.226562 1563633896.5382
MEM 129.226562 1563633896.6389
MEM 129.226562 1563633896.7397
MEM 129.226562 1563633896.8404
MEM 129.226562 1563633896.9411
MEM 129.226562 1563633897.0418
MEM 129.226562 1563633897.1426
MEM 129.226562 1563633897.2433
MEM 129.226562 1563633897.3440
MEM 129.226562 1563633897.4447
MEM 129.226562 1563633897.5455
MEM 129.226562 1563633897.6462
MEM 129.226562 1563633897.7470
MEM 129.582031 1563633897.8477
MEM 130.042969 1563633897.9484
MEM 130.109375 1563633898.0492
MEM 130.109375 1563633898.1499
MEM 130.109375 1563633898.2506
MEM 130.121094 1563633898.3513
MEM 130.566406 1563633898.4520
MEM 130.687500 1563633898.5528
