CMDLINE C:\Users\lenovo\Anaconda3\python.exe in_memory_clustering.py
MEM 140.804688 1563633528.2410
MEM 140.804688 1563633528.3417
MEM 140.867188 1563633528.4425
MEM 140.867188 1563633528.5432
MEM 140.867188 1563633528.6439
MEM 140.929688 1563633528.7446
MEM 140.929688 1563633528.8454
MEM 140.929688 1563633528.9461
MEM 140.929688 1563633529.0468
MEM 140.945312 1563633529.1476
MEM 140.964844 1563633529.2483
MEM 140.980469 1563633529.3490
MEM 141.054688 1563633529.4498
MEM 141.054688 1563633529.5505
MEM 141.054688 1563633529.6512
MEM 141.054688 1563633529.7519
MEM 141.117188 1563633529.8527
MEM 141.117188 1563633529.9534
MEM 141.117188 1563633530.0541
MEM 141.179688 1563633530.1549
MEM 141.179688 1563633530.2556
MEM 141.179688 1563633530.3563
MEM 141.179688 1563633530.4571
MEM 141.191406 1563633530.5578
MEM 141.210938 1563633530.6585
MEM 141.226562 1563633530.7593
MEM 141.238281 1563633530.8600
MEM 141.304688 1563633530.9607
MEM 141.304688 1563633531.0614
MEM 141.304688 1563633531.1622
MEM 141.367188 1563633531.2629
MEM 141.367188 1563633531.3636
MEM 141.648438 1563633531.4643
MEM 141.648438 1563633531.5651
MEM 141.710938 1563633531.6658
MEM 141.710938 1563633531.7666
MEM 141.710938 1563633531.8673
MEM 141.710938 1563633531.9680
MEM 141.718750 1563633532.0688
MEM 141.738281 1563633532.1695
MEM 141.757812 1563633532.2702
MEM 141.835938 1563633532.3709
MEM 141.835938 1563633532.4717
MEM 141.835938 1563633532.5724
MEM 141.835938 1563633532.6731
MEM 141.898438 1563633532.7739
MEM 141.898438 1563633532.8746
MEM 141.898438 1563633532.9753
MEM 141.960938 1563633533.0761
MEM 141.960938 1563633533.1768
MEM 141.960938 1563633533.2775
MEM 141.960938 1563633533.3782
MEM 141.976562 1563633533.4790
MEM 142.000000 1563633533.5797
MEM 142.023438 1563633533.6804
MEM 142.085938 1563633533.7811
MEM 142.085938 1563633533.8819
MEM 142.085938 1563633533.9826
MEM 142.148438 1563633534.0833
MEM 142.148438 1563633534.1841
MEM 142.148438 1563633534.2848
MEM 142.148438 1563633534.3855
MEM 142.210938 1563633534.4862
MEM 142.210938 1563633534.5870
MEM 142.210938 1563633534.6877
MEM 142.210938 1563633534.7884
MEM 142.230469 1563633534.8892
MEM 142.242188 1563633534.9899
MEM 142.261719 1563633535.0906
MEM 142.335938 1563633535.1914
MEM 142.335938 1563633535.2921
MEM 142.335938 1563633535.3928
MEM 142.335938 1563633535.4935
MEM 142.398438 1563633535.5943
MEM 142.398438 1563633535.6951
MEM 142.398438 1563633535.7957
MEM 142.398438 1563633535.8965
MEM 142.460938 1563633535.9972
MEM 142.460938 1563633536.0979
MEM 142.460938 1563633536.1987
MEM 142.460938 1563633536.2994
MEM 142.472656 1563633536.4001
MEM 142.492188 1563633536.5009
MEM 142.503906 1563633536.6016
MEM 142.585938 1563633536.7023
MEM 142.585938 1563633536.8030
MEM 142.585938 1563633536.9038
MEM 142.585938 1563633537.0045
MEM 142.585938 1563633537.1053
MEM 142.648438 1563633537.2060
MEM 142.648438 1563633537.3067
MEM 142.648438 1563633537.4075
MEM 142.652344 1563633537.5082
MEM 142.675781 1563633537.6089
MEM 142.691406 1563633537.7097
MEM 142.707031 1563633537.8104
MEM 142.730469 1563633537.9111
MEM 142.742188 1563633538.0118
MEM 142.753906 1563633538.1125
MEM 142.835938 1563633538.2133
MEM 142.835938 1563633538.3140
MEM 142.835938 1563633538.4147
MEM 142.886719 1563633538.5155
MEM 142.949219 1563633538.6162
MEM 142.949219 1563633538.7170
MEM 142.949219 1563633538.8177
MEM 142.949219 1563633538.9184
MEM 143.011719 1563633539.0192
MEM 143.011719 1563633539.1199
MEM 143.011719 1563633539.2206
MEM 143.019531 1563633539.3213
MEM 143.035156 1563633539.4221
MEM 143.054688 1563633539.5228
MEM 143.070312 1563633539.6235
MEM 143.136719 1563633539.7243
MEM 143.136719 1563633539.8250
MEM 143.136719 1563633539.9257
MEM 143.199219 1563633540.0265
MEM 143.199219 1563633540.1271
MEM 143.199219 1563633540.2279
MEM 143.199219 1563633540.3287
MEM 143.261719 1563633540.4294
MEM 143.261719 1563633540.5301
MEM 143.261719 1563633540.6308
MEM 143.261719 1563633540.7315
MEM 143.285156 1563633540.8323
MEM 143.304688 1563633540.9330
MEM 143.316406 1563633541.0337
MEM 143.386719 1563633541.1345
MEM 143.386719 1563633541.2352
